@id	addr:street	addr:housenumber	@lat	@lon
228733606			55.6554252	37.4775986
255927300			55.6596645	37.4789053
255927480			55.6602243	37.4727034
262471085			55.6576393	37.4719086
319286912			55.6586156	37.4715590
319286924			55.6585304	37.4715351
319286926			55.6583725	37.4715058
319286938			55.6583697	37.4715362
319286947			55.6590725	37.4714472
319286955			55.6587877	37.4714680
319286956			55.6586108	37.4716128
319286999			55.6590481	37.4714502
319287066			55.6587718	37.4716217
319287096			55.6585264	37.4715802
319287117			55.6587687	37.4716571
319288036			55.6597284	37.4732801
319288074			55.6588424	37.4730251
319288085			55.6588134	37.4733411
319288096			55.6587844	37.4733328
319288114			55.6587807	37.4733738
319288277			55.6587076	37.4733527
319288287			55.6587115	37.4733103
319288303			55.6586845	37.4733025
319288315			55.6587141	37.4729794
319288328			55.6587403	37.4729869
319288342			55.6587456	37.4729291
319288354			55.6588200	37.4729505
319288361			55.6588337	37.4728011
319288364			55.6597584	37.4730672
319288370			55.6597483	37.4731775
319288374			55.6598039	37.4731935
319288377			55.6597949	37.4732926
319288384			55.6598538	37.4733096
319288389			55.6598238	37.4736377
319288395			55.6598020	37.4736314
319288402			55.6597978	37.4736780
319288407			55.6597244	37.4736568
319288416			55.6597295	37.4736011
319288420			55.6596998	37.4735926
319288568			55.6562572	37.4725984
319288573			55.6562223	37.4721569
319288576			55.6561839	37.4725795
319288579			55.6572157	37.4724427
319288581			55.6563151	37.4722026
319288584			55.6563142	37.4719808
319288587			55.6563024	37.4721201
319288589			55.6562653	37.4725033
319288592			55.6561923	37.4724800
319288618			55.6561948	37.4721496
319288622			55.6561673	37.4724734
319288628			55.6572341	37.4722260
319288630			55.6562891	37.4725097
319288632			55.6562271	37.4721001
319288636			55.6562838	37.4726055
319288638			55.6562570	37.4729224
319288641			55.6562272	37.4729144
319288644			55.6562218	37.4729777
319288646			55.6561428	37.4729566
319288648			55.6561472	37.4729045
319288651			55.6561302	37.4728999
319288652			55.6561580	37.4725726
319288654			55.6586670	37.4747320
319288660			55.6597064	37.4738719
319288661			55.6597788	37.4738993
319288663			55.6586346	37.4744780
319288664			55.6586725	37.4735927
319288666			55.6586969	37.4745187
319288667			55.6585742	37.4744610
319288668			55.6597161	37.4748456
319288673			55.6596793	37.4748916
319288674			55.6587458	37.4736133
319288676			55.6586792	37.4745953
319288677			55.6586487	37.4736310
319288679			55.6596722	37.4738622
319288682			55.6597829	37.4738542
319288683			55.6595923	37.4749927
319288684			55.6596843	37.4748366
319288685			55.6597098	37.4738337
319288686			55.6596033	37.4748702
319288687			55.6586685	37.4736366
319288688			55.6595907	37.4747705
319288689			55.6586255	37.4745801
319288690			55.6598004	37.4739054
319288691			55.6587406	37.4736718
319288692			55.6587721	37.4736806
386284379			55.6593703	37.4724498
420364495			55.6554530	37.4724203
420364501			55.6554530	37.4725233
420364516			55.6554482	37.4736648
420364518			55.6554530	37.4738022
420609718			55.6569323	37.4748265
420609720			55.6567922	37.4763450
420609723			55.6567643	37.4763369
420609724			55.6567428	37.4765704
420609726			55.6571948	37.4766887
420609728			55.6572177	37.4764557
420609730			55.6571039	37.4764237
420609739			55.6572073	37.4758505
420609743			55.6576942	37.4761098
420609746			55.6576302	37.4768713
420609748			55.6580353	37.4769778
420609750			55.6581022	37.4762069
420609752			55.6585141	37.4762149
420609754			55.6584702	37.4767038
420609756			55.6584610	37.4768069
420609758			55.6584340	37.4771005
420609760			55.6588489	37.4772188
420609763			55.6588750	37.4769358
420609765			55.6588070	37.4769161
420609767			55.6589438	37.4754339
420609769			55.6585851	37.4753300
420609771			55.6585733	37.4754580
420609773			55.6586880	37.4754884
420609774			55.6585263	37.4761115
420609777			55.6581307	37.4758877
420609780			55.6581454	37.4751528
420609782			55.6578322	37.4750671
420609785			55.6577143	37.4757726
420609790			55.6572234	37.4757403
420609792			55.6572564	37.4749222
420609801			55.6559525	37.4747736
420609808			55.6559310	37.4750105
420609810			55.6563412	37.4751273
420609812			55.6563626	37.4748905
420609816			55.6561859	37.4735153
420609818			55.6563249	37.4735565
420609820			55.6563353	37.4734473
420609822			55.6566885	37.4735519
420609824			55.6566876	37.4738147
420609828			55.6564034	37.4737305
420609830			55.6563962	37.4738074
420609833			55.6561882	37.4737458
420609841			55.6570802	37.4733371
420609844			55.6570635	37.4735160
420609846			55.6572957	37.4735843
420609849			55.6573061	37.4734737
420609851			55.6575877	37.4735565
420609861			55.6576078	37.4733416
420609865			55.6572854	37.4732468
420609868			55.6572716	37.4733934
420609874			55.6568131	37.4729725
420609876			55.6569694	37.4730169
420609877			55.6569876	37.4728157
420609878			55.6568312	37.4727713
420609894			55.6575125	37.4726571
420609898			55.6579591	37.4728112
420609901			55.6579159	37.4732046
420609904			55.6580257	37.4732424
420609907			55.6580889	37.4726661
420609911			55.6575326	37.4724743
420609925			55.6578839	37.4734957
420609930			55.6578137	37.4742295
420609937			55.6573954	37.4741038
420609942			55.6573736	37.4743309
420609947			55.6579185	37.4744947
420609950			55.6580104	37.4735337
420609995			55.6602138	37.4745135
420609999			55.6601817	37.4748165
489867768			55.6560737	37.4716616
489867771			55.6559788	37.4717522
489867773			55.6556219	37.4773617
489867776			55.6556500	37.4774531
489867777			55.6595491	37.4786931
613210797			55.6556495	37.4779131
613210799			55.6555712	37.4784065
613210800			55.6555575	37.4778435
613210812			55.6560098	37.4789273
988505045			55.6555757	37.4774749
988505083			55.6578262	37.4785524
988505158			55.6555304	37.4779556
988505201			55.6554383	37.4774392
988505209			55.6554608	37.4785638
988505305			55.6563526	37.4777250
988505453			55.6557757	37.4781192
988505564			55.6575419	37.4780917
988505788			55.6566632	37.4783282
988505803			55.6567765	37.4788429
988505937			55.6574995	37.4784530
988506139			55.6575621	37.4779342
988506276			55.6555615	37.4776406
988506389			55.6576554	37.4769017
988506484			55.6576595	37.4785002
1199684967			55.6575238	37.4782461
1431423677			55.6599807	37.4727782
1431423681			55.6600025	37.4724353
1431423682			55.6601035	37.4728152
1431423683			55.6601151	37.4726642
1431423685			55.6601332	37.4724694
1431423686			55.6601311	37.4731657
1431423688			55.6601675	37.4728925
1431423689			55.6602130	37.4724902
1431423690			55.6602330	37.4732724
1431423691			55.6602335	37.4722437
1519957759			55.6554712	37.4779879
1728475422			55.6561767	37.4736136
1728475425			55.6562000	37.4736206
1728475441			55.6566761	37.4736834
1728475443			55.6566992	37.4736902
1728475454			55.6582207	37.4745103
1728475455			55.6582363	37.4743194
1728475456			55.6582919	37.4731782
1728475457			55.6583458	37.4726450
1728475458			55.6583904	37.4743589
1728475459			55.6583748	37.4745498
1728475460			55.6583960	37.4732112
1728475462			55.6584119	37.4732386
1728475474			55.6584298	37.4732494
1728475477			55.6584532	37.4726405
1728475480			55.6584474	37.4726773
1728475482			55.6584540	37.4732509
1728475484			55.6584639	37.4726114
1728475486			55.6584733	37.4732358
1728475487			55.6584830	37.4725956
1728475489			55.6585030	37.4725978
1728475490			55.6585156	37.4726100
1728475491			55.6585265	37.4726303
1728475492			55.6585301	37.4726579
1728475493			55.6585308	37.4727038
1728475495			55.6585869	37.4732718
1728475497			55.6586407	37.4727387
2184221270			55.6598131	37.4786855
2184221282			55.6600112	37.4765657
2186748424			55.6566088	37.4745339
2186748425			55.6595298	37.4784295
2186748426			55.6597810	37.4753461
2354902495			55.6582129	37.4715361
2354903031			55.6583145	37.4715506
2354904988			55.6585547	37.4728360
2398707836			55.6578485	37.4715523
2398707845			55.6577031	37.4716551
2398707846			55.6565443	37.4753260
2398707850			55.6589821	37.4718380
2398707878			55.6556506	37.4774114
2398707883			55.6558190	37.4751178
2398707884			55.6581829	37.4715615
2398707894			55.6583500	37.4716084
2467935783			55.6597183	37.4789218
2467935784			55.6597459	37.4787254
